date,tournament,stage,group,match_number,team_a,team_b,team_a_score,team_b_score,venue,city,attendance,referee,neutral_venue,team_a_possession,team_b_possession,team_a_shots_total,team_b_shots_total,team_a_shots_on_target,team_b_shots_on_target,team_a_shots_off_target,team_b_shots_off_target,team_a_shots_inside_box,team_b_shots_inside_box,team_a_shots_outside_box,team_b_shots_outside_box,team_a_passes,team_b_passes,team_a_passes_completed,team_b_passes_completed,team_a_crosses,team_b_crosses,team_a_crosses_completed,team_b_crosses_completed,team_a_corners,team_b_corners,team_a_free_kicks,team_b_free_kicks,team_a_fouls,team_b_fouls,team_a_offsides,team_b_offsides,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_penalties_scored,team_b_penalties_scored,team_a_assists,team_b_assists,team_a_goals_inside_box,team_b_goals_inside_box,team_a_goals_outside_box,team_b_goals_outside_box,team_a_forced_turnovers,team_b_forced_turnovers,team_a_pressing_applied,team_b_pressing_applied,team_a_line_breaks_attempted,team_b_line_breaks_attempted,team_a_line_breaks_completed,team_b_line_breaks_completed,team_a_defensive_line_breaks_attempted,team_b_defensive_line_breaks_attempted,team_a_defensive_line_breaks_completed,team_b_defensive_line_breaks_completed,team_a_offers_to_receive,team_b_offers_to_receive,team_a_offers_in_behind,team_b_offers_in_behind,team_a_offers_in_between,team_b_offers_in_between,team_a_offers_in_front,team_b_offers_in_front,team_a_receptions_mid_def_line,team_b_receptions_mid_def_line,team_a_receptions_behind_def_line,team_b_receptions_behind_def_line,team_a_switches_of_play,team_b_switches_of_play,team_a_formation,team_b_formation,result
12-06-2026,FIFA World Cup 2026,First Stage,A,1,Mexico,South Africa,2,0,Mexico City Stadium,Mexico City,80824,Wilton Sampaio,0,57,36,16,3,4,2,8,1,9,1,7,2,547,351,495,290,13,8,3,0,3,1,12,13,12,11,1,1,1,2,1,2,0,0,2,0,2,0,0,0,31,32,170,306,170,130,121,70,19,12,10,3,424,247,97,60,179,85,148,102,116,38,11,5,8,6,4123,532,team_a_win
12-06-2026,FIFA World Cup 2026,First Stage,A,2,Korea Republic,Czechia,2,1,Guadalajara Stadium,Guadalajara,44985,Amin Mohamed Omar,1,55,34,15,7,6,4,6,2,10,5,5,2,542,327,483,241,17,15,6,4,4,5,18,11,9,16,2,2,1,0,0,0,0,0,2,1,2,1,0,0,30,40,147,301,161,150,106,61,20,13,10,5,386,197,89,82,123,66,174,49,96,86,14,5,5,2,343,523,team_a_win
13-06-2026,FIFA World Cup 2026,First Stage,B,3,Canada,Bosnia and Herzegovina,1,1,Toronto Stadium,Toronto,43002,Facundo TELLO,0,52,29,13,8,4,3,6,4,10,5,3,3,412,279,316,186,30,8,5,5,9,4,20,11,10,20,1,0,2,3,0,0,0,0,1,1,1,1,0,0,50,51,160,203,190,154,110,70,31,15,16,4,294,126,128,33,114,65,52,28,119,75,15,5,2,1,442,442,draw
13-06-2026,FIFA World Cup 2026,First Stage,D,4,USA,Paraguay,4,1,Los Angeles Stadium,Los Angeles,70492,Danny Desmond Makkelie,0,59,28,16,9,6,1,6,4,13,4,3,5,602,316,520,234,23,5,5,0,3,1,18,15,13,17,2,1,1,5,0,0,0,0,3,1,3,1,0,0,50,49,204,360,223,130,163,60,38,7,25,3,471,204,127,38,203,89,141,77,159,44,21,4,4,5,4231,442,team_a_win
14-06-2026,FIFA World Cup 2026,First Stage,B,8,Qatar,Switzerland,1,1,San Francisco Bay Area Stadium,San Francisco Bay Area,67966,Said Martinez,1,31,56,7,26,4,7,2,11,4,17,2,9,307,586,217,523,10,26,1,8,3,10,12,11,11,12,0,1,2,1,0,0,0,1,1,0,0,1,0,0,36,42,294,165,150,189,68,144,16,30,2,17,216,325,61,118,95,117,60,90,47,143,5,20,4,5,4231,433,draw
14-06-2026,FIFA World Cup 2026,First Stage,C,7,Brazil,Morocco,1,1,New York/New Jersey Stadium,New Jersey,80663,Slavko Vincic,1,48,44,12,14,5,4,4,2,9,5,3,8,524,493,457,424,14,12,3,1,6,0,15,16,16,14,0,1,2,0,0,0,0,0,1,1,1,0,0,1,22,21,315,285,154,179,107,96,18,15,11,5,348,400,79,115,147,169,122,116,61,128,10,5,5,3,442,4231,draw
14-06-2026,FIFA World Cup 2026,First Stage,C,5,Haiti,Scotland,0,1,Boston Stadium,Boston,64146,Mustapha Ghorbal,1,47,43,15,9,2,2,9,5,8,8,6,1,428,399,367,318,24,16,7,7,4,3,0,26,23,21,3,1,1,3,0,0,0,0,0,0,0,1,0,0,29,35,185,230,142,167,96,104,12,18,4,6,267,329,105,94,94,136,68,99,83,78,3,7,4,4,442,442,team_b_win
14-06-2026,FIFA World Cup 2026,First Stage,D,6,Australia,Turkiye,2,0,BC Place Vancouver,Vancouver,52497,Jesus Valenzuela Saez,1,30,57,9,30,4,8,5,12,6,16,3,14,292,719,217,646,10,28,5,3,5,8,7,13,12,4,1,3,0,1,0,0,0,0,1,0,1,0,1,0,35,30,384,170,130,194,71,146,21,25,10,15,193,533,42,161,90,163,61,209,60,130,10,13,1,4,541,4231,team_a_win
14-06-2026,FIFA World Cup 2026,First Stage,E,10,Germany,Curacao,7,1,Houston Stadium,Houston,68021,Jalal Jayed,1,57,35,26,8,12,2,7,5,22,4,4,4,641,362,569,291,20,5,7,2,8,1,11,18,11,18,0,1,0,0,0,0,1,0,6,0,7,1,0,0,46,43,227,339,190,147,144,84,28,15,18,6,445,241,124,83,181,103,140,55,152,77,17,6,3,4,343,4123,team_a_win
15-06-2026,FIFA World Cup 2026,First Stage,F,11,Netherlands,Japan,2,2,Dallas Stadium,Dallas,69285,Ismail Elfath,1,54,37,10,9,6,2,4,5,10,5,0,4,529,356,473,302,23,24,8,7,5,4,7,8,7,7,1,0,3,0,0,0,0,0,2,2,2,1,0,1,33,28,194,316,153,138,109,88,20,20,13,13,298,342,85,101,91,121,122,120,95,79,11,11,0,2,4123,343,draw
15-06-2026,FIFA World Cup 2026,First Stage,E,9,Cote d'Ivoire,Ecuador,1,0,Philadelphia Stadium,Philadelphia,68274,François Letexier,1,41,49,15,12,4,1,8,10,8,5,7,7,471,513,413,438,15,14,3,3,3,5,13,10,10,13,0,0,3,1,0,0,0,0,1,0,1,0,0,0,44,49,288,280,177,191,132,124,18,20,11,8,333,339,87,77,174,149,72,113,102,113,8,7,1,2,442,442,team_a_win
15-06-2026,FIFA World Cup 2026,First Stage,F,12,Sweden,Tunisia,5,1,Monterrey Stadium,Monterrey,50987,Yael Falcón Pérez,1,47,42,13,6,7,2,4,2,10,2,3,4,356,370,290,299,12,13,3,3,4,2,14,13,8,10,3,6,0,1,0,0,0,0,4,1,3,1,2,0,42,41,172,223,161,153,92,89,24,16,13,5,250,362,62,97,85,192,103,73,77,81,14,5,5,8,3412,532,team_a_win
15-06-2026,FIFA World Cup 2026,First Stage,H,14,Spain,Cabo Verde,0,0,Atlanta Stadium,Atlanta,67640,Adham Mohammad Tumah Makhadmeh,1,65,25,27,6,7,1,11,4,16,2,11,4,811,306,755,227,39,3,8,2,11,1,4,12,1,10,2,3,1,1,0,0,0,0,0,0,0,0,0,0,53,47,200,398,210,132,176,64,34,12,28,1,634,238,194,54,172,115,268,69,181,45,29,1,8,2,4123,4123,draw
